sender,message
naor, קורן
naor, איך אני רואה את ההרצאה של אורי אברהם הזה
naor, על ההוכחה של קנטור ברנשטיין
naor, ??
naor, תודנ אוהב אותך
naor, לילה טוב
naor, מחר ב 1 😘
naor, כן
naor, יפה שלי השמאלית 😍
naor, לרדת למטה ולהביא כיסאות עוד יוני?
naor, אז כמה אנשים אירגנת?
naor, אין 2?!
naor, לא אחי
naor, נראלי אבל. לא להרבה זמן
naor, ממתי זה?
naor, אוקי
naor, סבבה
naor, למה הוא לא נשאר הרבה?
naor, חחחח אוקי
naor, אוהב
naor, יקח לי קצת יותר זמן
naor, אני בבית חולים
naor, אצל סבא שלי
naor, הוא מיום ראשון בבית חולים
naor, לא אמרו לי המשפחה
naor, משו בריאות
naor, בעזרת השם
naor," כן חברים שלי לא יודעים אם יש מסיבה של היום , כי זה יום ראשון וטיפה בעייתי"
naor, אבל אם אתה רוצה לבדוק אתה יכול להתקשר אליהם לשאול
naor, חפש מורפיום תל אביב
naor, חבר שלי בודק אם פתוח
naor, שנייה הוא מודיע לי
naor, מה
naor, יש מצב
naor, אה
naor, איזה זין
naor, אני יבדוק מה פתוח היום
naor, חחח
naor, אין כלום פתוח בימי ראשון
naor, בעייתי
naor, היינו הולכים אתמול
naor, סבבה
naor, אוהב אתכםםם
naor, קורן
naor, ריק כי רק עכשיו התחילה המסיבה
naor, יתמלא לאט לאט
naor, העיקר שנהנת
naor, אוהב אותךךך
naor, אתה מביא סיר?
naor, טוב
naor, צאאאאא
naor, אתה בא להסתלבט???
naor, צאאאא
naor, יוצא עכשיו
naor, סבבה
naor, אני בלה האופנוע או האוטו
naor, אם תוכל להגיע אלי אני יקח אותך
naor, 7
naor, נלך ביחד?
naor, חמש דק
naor, במדרגות
naor, חמש דקות למטה
naor, אתה בא???
naor, חמש דק למטה
naor, 208536789
naor, לא יודע לא אכפת לי
naor, מה שבאלך
naor, אתה בא?
naor, אין לי זמן אחי לא עשיתי את העבודות האחרות
naor, טוב אחי
naor, 4
naor, כן
naor, יאללה אחי
naor, לילה טוב
naor, אתה תשמור לנו מקום?
naor, סבבה
naor, <‎image omitted>
naor, <‎image omitted>
naor, UMLet
naor, איזה גבר אתהה
naor, תותחח
naor, אוקי אחי
naor, שלחתי
naor, לא שידוע לי אחי
naor, סולו לא לגיל נו
naor, שלנו
naor, וצייסר סבבה
naor, טוב שם
naor, מזרחית ואנגלית כמו שאתה אוהב
naor, כן
naor, במוצ״ש
naor, גם וגם
naor, למה
naor, טוב
naor, לחחחח
naor, אתם פסיכים?
naor, מי הולך
naor, אתה וחברים שלך?
naor, אני אשאל
naor, אבל מחר אני לא בא אליך?
naor," אני לא יודע אם אני יבוא לטבריה, אז מקסימום יום אחד"
naor, עם חברים שלי?
naor, איך נועחם?
naor, נוסעים*
naor, שאלתי נראה מי ירצה
naor, חחח
naor, אנחנו מסוים החברים עכשיו
naor, נוסעים*
naor, אני לא מאמין
naor, כן חחחח
naor, חחחחח
naor, אני בסוף לא נוסע היום
naor, כמה בנות באות ממכם?
naor, יש עניין?
naor, לא יודע
naor, 3
naor, לא יודע
naor, איך אתם?
naor, הגשת את העבודה במונחה?
naor, חחחח תותח
naor, אתה ער?
naor, אני פה
naor, בדיוק דקה
naor, אני כבר ער
naor, מתלבש ובא
naor, אחי אני מסיים פה ובא
