sender,message
ohad, <‎image omitted>
ohad, איזה כלי הוא כתב את זה לפיינשטיחן
ohad, יין
ohad, הם סגורים
ohad, עד 6 הם עובדים
ohad, תזכיר לי להתקשר מחר אחרי המבחן
ohad, נאור תגיד יש איזה מסיבה סבבה בתל אביב שבוע הבא?
ohad, כל החברה פה ורוצים לחגוג
ohad, חח כן אמרתי להם
ohad, אבל בחמישי
ohad, יש צדיקים בקהל
ohad, אתה בא לבאר שבע השבוע?
ohad, כן גם אני
ohad, אני נראה לי אבוא בשבת בצהריים
ohad, ראשון
ohad, אתה לומד או ניגש על הפאדי
ohad, ?
ohad, לא יודע אין לי כוח ללמוד
ohad, חחח כן
ohad, נראה לי מחר יהיה
ohad, בהכל
ohad, מה יש לשרוטים בקבוצה הזאת כל יום בוכים על משהו חדש
ohad, חחחח כן
ohad, חחחחחחחח
ohad, הם חושבים שזה יזיז למישהו
ohad, אבל על כל דבר זה כבר לא הגיוני
ohad, סמסטר הבא ישימו עליהם זין
ohad, חחחח כן זה גם מה שאבא שלי אמר
ohad, אהה נפגשים יום שני שכחתי מזה בכלל
ohad, חחחח איזה שביזות יש לי אוטובוס ב6 וחצי בבוקר
ohad, אבל ישיר לתל השומר
ohad, לבית חולים שם
ohad, נקווה לטוב
ohad, חחח חשבתי לשתות למוות ביום ראשון ולבוא מפוחלץ יום שני
ohad, חחחחחחח
ohad, מדדת את המדים כבר?
ohad, אתה יודע איזה יפה אני עם מדים נהייתי המום
ohad, נראה רמטכל
ohad, סתם נראה כמו קוקסינל מתלהב שעולה על מדים במוצש
ohad, כן אמרתי לאבא שלי פעם הבאה על מדים זה עם שתי ארונות על הכתף
ohad, הוא אמר לי שצצצ
ohad, וואי ההשבעה של גבעתי יום חמישי הזה
ohad, לא יודע
ohad, יש לך מקום באוטו?
ohad, איזה כלי
ohad, מה אבל עוד פעם ירושלים
ohad, נאור אורגינל תן מסיבות היום
ohad, 18+ כניסה?
ohad, כפרה עליך תברר לי
ohad, אוהב
ohad, נאור בדוקקק אחייי
ohad, ?
ohad, <‎image omitted>
ohad, לא יודע כתוב 27+
ohad, חח מאיפה לי מה אני תל אביבי
ohad, מה לי ולו
ohad, מה אתה גנוב עכשיו דיברתי איתו
ohad, איפה אתה!
